trade_id,trade_date,settlement_date,portfolio,ticker,asset_class,side,quantity,price,currency,broker,trader,custodian_account
T0033,2026-06-15,2026-06-16,International Equity Fund,JPM,Equity,SELL,300,204.27,USD,J.P. Morgan,A. Patel,IEF-4001
T0034,2026-06-01,2026-06-02,Core Income Fund,GOOGL,Equity,SELL,500,176.64,USD,Morgan Stanley,J. Miller,IF-3001
T0036,2026-06-11,2026-06-12,Short Duration Bond Fund,MSFT,Equity,BUY,100,419.29,USD,Bank of America,J. Miller,SDB-5001
T0037,2026-06-07,2026-06-08,Short Duration Bond Fund,MSFT,Equity,SELL,500,418.56,USD,J.P. Morgan,S. Lee,SDB-5001
T0038,2026-06-07,2026-06-08,Balanced Allocation Fund,JPM,Equity,SELL,75,205.85,USD,Citigroup,S. Lee,BF-2001
T0039,2026-06-08,2026-06-09,US Growth Fund,AAPL,Equity,BUY,50,193.58,USD,Bank of America,S. Lee,GF-1001
T0040,2026-06-15,2026-06-16,Balanced Allocation Fund,SPY,ETF,SELL,50,534.42,USD,Goldman Sachs,A. Patel,BF-2001
T0042,2026-06-05,2026-06-06,US Growth Fund,NVDA,Equity,BUY,50,123.71,USD,Goldman Sachs,S. Lee,GF-1001
T0043,2026-06-12,2026-06-13,Short Duration Bond Fund,GOOGL,Equity,SELL,200,177.14,USD,Bank of America,M. Chen,SDB-5001
T0044,2026-06-01,2026-06-02,Core Income Fund,EWJ,ETF,SELL,50,69.34,USD,Morgan Stanley,J. Miller,IF-3001
T0045,2026-06-03,2026-06-04,Core Income Fund,TM,ADR,SELL,150,177.19,USD,Bank of America,M. Chen,IF-3001
T0046,2026-06-02,2026-06-03,Short Duration Bond Fund,AAPL,Equity,BUY,50,196.99,USD,Bank of America,J. Miller,SDB-5001
T0047,2026-06-09,2026-06-11,Core Income Fund,AGG,Bond ETF,BUY,75,97.46,USD,Goldman Sachs,S. Lee,IF-3001
T0049,2026-06-03,2026-06-04,Short Duration Bond Fund,ASML,Equity,BUY,100,942.02,EUR,Citigroup,J. Miller,SDB-5001
T0050,2026-06-15,2026-06-16,Balanced Allocation Fund,ASML,Equity,SELL,200,940.48,EUR,J.P. Morgan,S. Lee,BF-2001
T0051,2026-06-12,2026-06-13,US Growth Fund,AMZN,Equity,BUY,75,185.5,USD,Goldman Sachs,J. Miller,GF-1001
